Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Procurement Services Branch ,Access & Directory Management Services ,Identity & Access Management IM/IT Services ,BPM080181,Request for Proposal,2023-03-22,3,2023-05-08,Sierra Systems Group Inc.,"2025 Willingdon Ave, Burnaby, British Columbia","$7,000,000.00",2023-06-23
Ministry of Transportation and Infrastructure,Asset Management Branch ,RISP 41182 General Engineering Services for Structural Asset Management and Design Northern Region 2022,RFP-AMB-RISP41182,Request for Proposal,2022-12-15,1,2023-01-26,Allnorth,"SUITE 1810, 1111 WEST GEORGIA STREET, VANCOUVER, British Columbia","$950,000.00",2023-06-12
BC Timber Sales Branch ,Babine ,EN24TAH4403 - Dangerous Tree Assessment and Falling within the Babine Business Area ,EN24TAH4403,Invitation to Tender,2023-05-18,1,2023-06-08,Lions Den Forestry Operations Ltd,"1496 Willow St, Telkwa, British Columbia","$46,800.00",2023-06-22
BC Timber Sales Branch ,Babine ,PL24TAS4103 – Tree Planting Implementation and Supervision Services – Morice and Bulkley,PL24TAS4103,Invitation to Tender,2023-02-01,0,2023-03-01,Paramount Forestry Ltd.,"1323 Sunny Point Dr, Smithers, British Columbia","$86,000.00",2023-05-03
BC Timber Sales Branch ,Babine ,PL24TAS4104 - Supply and Delivery of Refrigerated Reefer Units for Tree Planting 2023,PL24TAS4104,Invitation to Tender,2023-01-25,1,2023-02-22,Silvertip Transport Ltd.,,"$279,517.00",2023-04-05
BC Timber Sales Branch ,,CS2483R004 Conduct a Climate Change Vulnerability Assessment,168457,Contract Award Notice,2023-06-09,0,2023-06-09,Innovative Climate Strategies Inc,", , British Columbia","$132,000.00",2023-06-09
BC Timber Sales Branch ,,Silviculture Surveys – Gaspard – Williams Lake Timber Supply Area.,SU24TLE006,Invitation to Tender,2023-04-26,1,2023-06-19,Pathocon Consulting ,Prince George,"$49,653.80",2023-06-27
BC Timber Sales Branch ,,PL24TAS4105-Lakes West/North Implementation OTR Yr1,PL24TAS4105,Invitation to Tender,2023-03-30,0,2023-04-19,Paramount Forestry Ltd.,,"$66,250.00",2023-05-29
BC Timber Sales Branch ,,Silviculture Surveys - Central Cariboo - Williams Lake Timber Supply Area,SU24TLE009,Invitation to Tender,2023-04-25,0,2023-05-24,Pathocon Consulting ,,"$57,148.00",2023-05-24
BC Timber Sales Branch ,,Herbaceous and Manual Brushing - Various Locations- Quesnel and Cascadia Timber Supply Areas,10005-40/BR24TLH003,Invitation to Tender,entered 2023-06-27,0,    ,Dewan Enterprises ltd,,"$177,789.30",2023-06-16
BC Timber Sales Branch ,,Dodd Major Works,EN24TBP001,Invitation to Tender,2023-04-18,0,2023-05-17,bob marquis contracting ltd,"3418 Yew Kwum Place, Powell River, BC   V8A 5T5","$392,887.00",2023-05-31
BC Timber Sales Branch ,,EN24TFD005 Professional Engineering Services,EN24TFD005,Request for Proposal,2023-03-17,0,2023-04-14,SNT Engineering Ltd.,"Suite 3 - 385 Baker Street, Nelson, BC  V1L 6V8","$1,000,000.00",2023-04-24
BC Timber Sales Branch ,,IM24TEM612 - Planting Implementation - Merritt TSA,IM24TEM612,Invitation to Tender,2023-03-29,0,2023-04-20,Second Pass Forestry Ltd,"2073 Van Horne Drive
Kamloops BC  V1S 1G5","$82,801.50",2023-05-17
BC Timber Sales Branch ,,SU24TLE007 - Silviculture Surveys - Southern Cariboo - Williams Lake Timber Supply Area,SU24TLE007,Invitation to Tender,2023-04-12,3,2023-05-09,Jeratec Forestry Contracting,"Box 1035, 150 Mile House, British Columba, V0K 2G0","$75,980.30",2023-05-11
BC Timber Sales Branch ,,CS24TBP001 Professional Biological Consulting Services,CS24TBP001,Invitation to Tender,2023-04-17,0,2023-05-08,1197157 B.C. Ltd,"209-300 ST Ann's Road, Campbell River BC   V9W 4C8","$47,410.00",2023-05-25
Procurement Services Branch ,BC Timber Sales Branch ,"Req 56322 - Timber Order: Sub Deck Timbers, Rails, Risers, and Deck Modules",5096569,Invitation to Quote,2023-04-13,1,2023-04-24,Stinger Welding Ltd,,"$53,663.20",2023-05-01
Ministry of Forests,BC Wildfire Service ,"FireSmart Strategic Communications, Creative Production and Creative Support Services",166601,Request for Proposal,2023-04-28,0,2023-05-28,SitePartners,"17858 66 Ave, Surrey, British Columbia","$1,325,000.00",2023-06-02
Ministry of Forests,BC Wildfire Service ,"FireSmart Strategic Communications, Creative Production and Creative Support Services",166601,Request for Proposal,2023-04-28,0,2023-05-28,SitePartners,"17858 66 Ave, Surrey, British Columbia","$1,325,000.00",2023-06-02
BC Timber Sales Branch ,Cariboo-Chilcotin ,PL24TLH007 - Multi-Treatment of Herbaceous and Manual Brushing and Summer Fill Plant – Various Locations – Quesnel and Cascadia Timber Supply Area,PL24TLH007,Invitation to Tender,2023-02-09,0,2023-03-09,Torrent Silviculture,"345 St Laurent Ave, Quesnel, British Columbia","$153,249.00",2023-04-27
BC Timber Sales Branch ,Cariboo-Chilcotin ,SU24TLH001 Regeneration Assessment and Free-Growing Surveys - Various Locations - Quesnel Timber Supply Area,SU24TLH001,Invitation to Tender,2023-04-20,0,2023-05-18,Zanzibar Holdings Ltd.,"204-1801 Welch St North Vancouver, North Vancouver, British Columbia","$164,368.64",2023-06-28
BC Timber Sales Branch ,Cariboo-Chilcotin ,EN24TLA003 – Road and Bridge Maintenance and Deactivation – Various Locations – Quesnel Timber Supply Area,EN24TLA003,Invitation to Tender,2023-04-20,2,2023-05-23,Way Out West Contracting Ltd.,"206 - 383 OLIVER STREET, WILLIAMS LAKE, British Columbia","$226,991.55",2023-06-21
BC Timber Sales Branch ,Cariboo-Chilcotin ,SU24TLH002 - Regeneration Assessment and Free-Growing Surveys - Various Locations - Quesnel and Cascadia Timber Supply Areas.,SU24TLH002,Invitation to Tender,2023-05-05,1,2023-06-01,Blue Collar Silviculture Ltd,"255 Lear Rd, Quesnel, British Columbia","$153,129.50",2023-06-16
BC Timber Sales Branch ,Cariboo-Chilcotin ,EN24TLA012 – Road and Bridge Maintenance – Various Locations – Williams Lake Timber Supply Area,EN24TLA012,Invitation to Tender,2023-05-01,1,2023-06-01,Way Out West Contracting Ltd.,"206 - 383 OLIVER STREET, WILLIAMS LAKE, British Columbia","$371,969.00",2023-06-14
BC Timber Sales Branch ,Cariboo-Chilcotin ,SU24TLE008 – Silviculture Surveys – Chilcotin – Williams Lake Timber Supply Area,SU24TLE008,Invitation to Tender,2023-04-26,2,2023-05-29,Pathocon Consulting ,,"$52,899.75",2023-06-14
BC Timber Sales Branch ,Cariboo-Chilcotin ,SP24TLH001 – Mechanical Site Preparation – Various Locations – Quesnel and Cascadia Timber Supply Areas.,SP24TLH001,Invitation to Tender,2023-05-10,1,2023-06-15,Interior Silvi-Services Ltd.,"2041 Campbell Crescent, Quesnel, British Columbia","$402,864.10",2023-06-23
BC Timber Sales Branch ,Cariboo-Chilcotin ,SU24TLE011 – Site Plans and Silviculture Surveys – Fir Bark Beetle Blocks – Williams Lake Timber Supply Area.,SU24TLE011,Invitation to Tender,2023-05-10,0,2023-06-06,B.A. Blackwell & Associates Ltd.,"270 - 18 Gostick Place, North Vancouver, British Columbia","$91,360.26",2023-06-22
BC Timber Sales Branch ,Cariboo-Chilcotin ,SP24TLE007 – Mechanical Site Preparation – Disc Trenching – Williams Lake Timber Supply Area,SP24TLE007,Invitation to Tender,2023-05-09,0,2023-06-12,Frank Norman Rowley,,"$19,364.00",2023-06-27
BC Timber Sales Branch ,Chinook ,"CS24TBH003 - Professional Biologist Services, Chilliwack and Squamish",CS24TBH003,Invitation to Tender,2023-04-18,0,2023-05-16,EDI Environmental Dynamics Inc.,"3810 18th Avenue, Prince George, British Columbia","$62,429.40",2023-06-09
BC Timber Sales Branch ,Chinook ,"EN24TBH005 - Kookipi Bridge Construction, Chilliwack",EN24TBH005,Invitation to Tender,2023-03-21,1,2023-04-18,"Pioneer Precast Products, a  Division of IOTA Construction Ltd",,"$1,246,972.00",2023-05-09
BC Timber Sales Branch ,Chinook ,EN24TBH006 - Chinook Road Maintenance,EN24TBH006,Invitation to Tender,2023-04-05,0,2023-05-03,Maharg Contracting Ltd,", Agassiz, British Columbia","$108,899.11",2023-05-23
BC Timber Sales Branch ,Chinook ,SU24TBJ001 - Silviculture Surveys in Haida Gwaii,SU24TBJ001,Invitation to Tender,2023-02-08,0,2023-03-08,SuavAir,,"$30,261.00",2023-04-28
BC Timber Sales Branch ,Chinook ,"MP24TBH001 - Multi-Phase Block Assessment, Layout and Timber Sale Licence Development, Chilliwack",MP24TBH001,Invitation to Tender,2023-02-22,0,2023-03-22,CHARTWELL RESOURCE GROUP LTD.,"275 Fell Ave, North Vancouver, British Columbia","$345,360.00",2023-04-12
BC Timber Sales Branch ,Chinook ,MP24TBH002 - Multiphase Block Assessment Layout and Timber Sale License Development - Chinook,MP24TBH002,Invitation to Tender,2023-03-06,0,2023-04-04,Infinity Pacific Stewardship Group,"1 - 30435 Progressive Way, Abbotsford, BC V2T 6Z1, Chilliwack, British Columbia","$307,050.00",2023-04-12
Ministry of Forests,Crown Land Opportunities and Restoration Branch ,Crown Land Survey Coordinator,169999,Request for Proposal,2023-05-26,0,2023-06-09,R.F. Binnie & Associates Ltd.,"Canada Way 300-4940 , Burnaby, British Columbia","$30,000.00",2023-06-13
Ministry of Forests,Forest Analysis and Inventory Branch ,GBR NORTH PERMANENT SAMPLE PLOT (PSP) SAMPLING,1070-30/OT24FHQ006,Request for Proposal,2023-02-28,0,2023-03-20,Hatch Woodlands Ltd.,"2700 - 700 WEST GEORGIA STREET, VANCOUVER, British Columbia","$153,078.00",2023-04-28
Ministry of Forests,Forest Analysis and Inventory Branch ,GBR CENTRAL PERMANENT SAMPLE PLOT (PSP) SAMPLING,1070-30/OT24FHQ007,Request for Proposal,2023-02-28,0,2023-03-22,Hatch Woodlands Ltd.,"2700 - 700 WEST GEORGIA STREET, VANCOUVER, British Columbia","$243,248.00",2023-04-28
Ministry of Forests,Forest Analysis and Inventory Branch ,GBR CENTRAL NATIONAL FOREST INVENTORY (NFI) SAMPLING,1070-30/OT24FHQ001,Request for Proposal,2023-02-22,0,2023-03-08,Atticus Environmental Services Ltd.,"2235 Nugget Road, Cobble Hill, British Columbia","$202,760.52",2023-04-28
Ministry of Forests,Forest Analysis and Inventory Branch ,GBR SOUTH-SOUTH COAST NATIONAL FOREST INVENTORY (NFI) SAMPLING,1070-30/OT24FHQ002,Request for Proposal,2023-02-22,0,2023-03-10,Hatch Woodlands Ltd.,"2700 - 700 WEST GEORGIA STREET, VANCOUVER, British Columbia","$282,645.00",2023-04-28
Ministry of Forests,Forest Analysis and Inventory Branch ,GBR NORTH CHANGE MONITORING INVENTORY (CMI) – YOUNG STAND MONITORING (YSM) SAMPLING,1070-30/OT24FHQ003,Request for Proposal,2023-02-24,0,2023-03-13,Hatch Woodlands Ltd.,"2700 - 700 WEST GEORGIA STREET, VANCOUVER, British Columbia","$219,756.00",2023-04-28
Ministry of Forests,Forest Analysis and Inventory Branch ,GBR CENTRAL CHANGE MONITORING INVENTORY (CMI) – YOUNG STAND MONITORING (YSM) SAMPLING,1070-30/OT24FHQ004,Request for Proposal,2023-02-24,0,2023-03-15,Hatch Woodlands Ltd.,"2700 - 700 WEST GEORGIA STREET, VANCOUVER, British Columbia","$314,580.00",2023-04-28
Ministry of Forests,Forest Analysis and Inventory Branch ,GBR SOUTH CHANGE MONITORING INVENTORY (CMI) – YOUNG STAND MONITORING (YSM) SAMPLING,1070-30/OT24FHQ005,Request for Proposal,2023-02-24,0,2023-03-17,Hatch Woodlands Ltd.,"2700 - 700 WEST GEORGIA STREET, VANCOUVER, British Columbia","$259,170.00",2023-04-14
Ministry of Forests,Forest Analysis and Inventory Branch ,100 MILE TIMBER SUPPLY AREA CMI-YSM SAMPLING,1070-30/OT24FHQ056,Request for Proposal,2023-05-09,1,2023-06-05,McColl Forestry Ltd.,"5316 Ptarmigan St, Kelowna, British Columbia","$67,185.00",2023-06-05
Ministry of Transportation and Infrastructure,Integrated Transportation Planning Branch ,BC Truck Survey Data Program,RFP-BCTSDP20221222,Request for Proposal,2022-12-22,1,2023-01-31,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$1,500,000.00",2023-05-08
Attorney General,Justice Services Branch ,Policy Consulting,167878,Contract Award Notice,2023-05-05,0,2023-05-15,"Ronald C.C. Cuming, K.C.",,"$60,000.00",2023-04-09
Attorney General,Justice Services Branch ,Mental Health Act Rights Advice Service,8138,Request for Proposal,2022-11-03,0,2023-01-20,"CANADIAN MENTAL HEALTH ASSOCIATION, B.C. DIVISION","905 - 1130 PENDER ST W, VANCOUVER, British Columbia","$1,482,244.00",2023-04-05
BC Timber Sales Branch ,Kamloops ,SU24TEM611 - Silviculture Surveys - 100 Mile House TSA,SU24TEM611,Invitation to Tender,2023-03-14,1,2023-04-05,Montane Forest Consultants Ltd.,"715 Alder Ave, 100 Mile House, British Columbia","$56,470.00",2023-04-20
BC Timber Sales Branch ,Kamloops ,EN24TEK420 - FSR Maintenance - 100 Mile House TSA,EN24TEK420,Invitation to Tender,2023-04-12,0,2023-05-11,BRC / Black River Contracting Ltd,"248 SECOND AVENUE, KAMLOOPS, British Columbia","$82,500.00",2023-06-08
BC Timber Sales Branch ,Kamloops ,IM24TEM616 - Planting Implementation - Kamloops (Clearwater) TSA,IM24TEM616,Invitation to Tender,2023-03-31,0,2023-04-27,Leeanne Chow Consulting Ltd.,"227 Azure Drive, Clearwater, British Columbia","$34,564.48",2023-05-18
BC Timber Sales Branch ,Kootenay ,PD24TFK006 KBI Support Services,PD24TFK006,Request for Proposal,2023-04-14,0,2023-05-04,Sitkum Consulting Ltd,"1516 ROBERTSON AVENUE, NELSON, British Columbia","$41,000.00",2023-06-01
BC Timber Sales Branch ,Kootenay ,MP24TFH007 Multiphase Development East Kootenay,MP24TFH007,Invitation to Tender,2023-03-20,1,2023-04-18,Maple Leaf Forestry Ltd.,"253 INDUSTRIAL RD.  #F, CRANBROOK, British Columbia","$248,130.00",2023-04-27
BC Timber Sales Branch ,Kootenay ,IM24TFD003 Silviculture Implementation & Surveys - Kootenay Lake,IM24TFD003,Invitation to Tender,2023-02-24,1,2023-03-17,Forsite Consultants ,"330 42nd St SW, Salmon Arm, British Columbia","$191,760.00",2023-04-13
BC Timber Sales Branch ,Kootenay ,PD24TFK002A Global Hydrological Assessment - Kootenay Business Area,PD24TFK002A,Invitation to Tender,2023-05-15,0,2023-05-30,MacDonald Hydrology Consultants Ltd.,"4262 Hilltop Cres, Cranbrook, British Columbia","$248,000.00",2023-06-05
Liquor Distribution Branch,,RFP2023-03-07 Occupational First Aid Training Programs,RFP2023-03-07,Request for Proposal (BPS),2023-02-08,0,2023-03-07,St. John Society BC and Yukon,,"$69,300.00",2023-04-05
Liquor Distribution Branch,,RFP2023-03-13 Share-A-Bear Campaign,158627,Request for Proposal (BPS),2023-02-09,0,2023-03-13,The Stuffed Animal House Ltd.,", Langley, British Columbia","$850,000.00",2023-04-26
Liquor Distribution Branch,,ITQ2023-02-08 SUPPLY AND DELIVERY OF TWO-WAY RADIO(S) with a MINIMUM 2 YEARS SERVICE PLAN,ITQ2023-02-08,Request for Proposal (BPS),2023-01-19,0,2023-02-08,MDT Technical Services Inc.,"7402 Progress Way, Delta, British Columbia","$16,236.00",2023-04-03
Liquor Distribution Branch,,RFP2023-02-15 Pallet Delivery Services from BDC to Stores,RFP2023-02-15,Request for Proposal (BPS),2023-01-13,2,2023-02-24,Pacific Coast Distribution Ltd.,"27433 52 Ave, Langley Twp, British Columbia","$250,000.00",2023-05-03
Liquor Distribution Branch,,ITQ2023-06-13 Supply and Delivery of Stock Chasers and Industrial trailers,ITQ2023-06-13,Invitation to Quote,entered 2023-06-23,0,    ,Johnston Equipment,"5990 Avebury Road,
Mississauga, Ontario, L5R 3R2","$407,670.00",2023-06-23
Liquor Distribution Branch,,Professional services for Solix EDMS,NOI2023-01-31,Direct Award,2023-01-20,1,2023-01-31,Solix Technologies Inc.,"4701 Patrick Henry Drive, Bldg #20, Santa Clara, California, 95054","$25,000.00",2023-06-12
Liquor Distribution Branch,,Waste Collection Services,RFP2023-03-13,Request for Proposal,2023-02-13,4,2023-04-03,SUPER SAVE DISPOSAL INC.,,"$650,000.00",2023-06-01
Liquor Distribution Branch,,Waste Collection Services,RFP2023-03-13,Request for Proposal,2023-02-13,4,2023-04-03,Maple Leaf Disposal Ltd.,,"$353,500.00",2023-06-15
Liquor Distribution Branch,,Waste Collection Services,RFP2023-03-13,Request for Proposal,2023-02-13,4,2023-04-03,Waste Management of Canada Corp.,,"$235,000.00",2023-06-23
Liquor Distribution Branch,,Waste Collection Services,RFP2023-03-13,Request for Proposal,2023-02-13,4,2023-04-03,SUPER SAVE DISPOSAL INC.,,"$650,000.00",2023-06-01
Liquor Distribution Branch,,Waste Collection Services,RFP2023-03-13,Request for Proposal,2023-02-13,4,2023-04-03,SUPER SAVE DISPOSAL INC.,,"$650,000.00",2023-06-01
Liquor Distribution Branch,,ITQ2023-05-31 Entrust Certificate Subscription and Support Services,ITQ2023-05-31,Invitation to Quote (BPS),2023-05-19,0,2023-05-31,i7 Solutions Inc.,"170-422 Richards St, Vancouver, British Columbia","$82,085.00",2023-06-14
Liquor Distribution Branch,,ITQ2023-05-08 InformaCast Advanced Notification Subscription Endpoint,ITQ2023-05-08,Invitation to Quote (BPS),2023-04-24,0,2023-05-08,SOFTCHOICE,"173 DUFFERIN STREET, SUITE 200, TORONTO, Ontario","$3,647.50",2023-05-17
Liquor Distribution Branch,,ITQ2023-05-23 Check Point Enterprise Subscription and Support Renewal,ITQ2023-05-23 Check Point,Invitation to Quote (BPS),2023-05-11,0,2023-05-23,"Powerland, a Xerox Business Solutions Company","170 Marion St, Winnipeg, Manitoba","$279,228.82",2023-05-26
Liquor Distribution Branch,,ITQ2023-05-23 Purchase and Renewal of Camtasia Licenses,ITQ2023-05-23 Purchase and Renewal of Camtasia Licenses,Invitation to Quote (BPS),2023-05-11,0,2023-05-31,SOFTCHOICE,"173 DUFFERIN STREET, SUITE 200, TORONTO, Ontario","$6,100.00",2023-06-06
Liquor Distribution Branch,,ITQ2023-05-24 Renewal of ExaGrid Backup Storage Maintenance and Support,ITQ2023-05-24,Invitation to Quote (BPS),2023-05-12,0,2023-05-24,SHI Canada ULC,"895 Don Mills Rd., Toronto, Ontario","$124,905.00",2023-05-30
Liquor Distribution Branch,,Electric Vehicle for Real Estate,ITQ2023-04-24,Invitation to Quote (BPS),2023-04-13,0,2023-04-24,JIM PATTISON LEASE,"4937 Regent St, Burnaby, British Columbia","$80,900.00",2023-04-27
Liquor Distribution Branch,,ITQ2023-04-28 RSA Authentication and Tokens Renewal,ITQ2023-04-28,Invitation to Quote (BPS),2023-04-18,1,2023-04-28,ComplyTec Inc.,"82 Laird Dr, Toronto, Ontario","$19,768.60",2023-05-02
Liquor Distribution Branch,, ITQ2023-03-31 Renewal of IBM V7000 Maintenance and Support, ITQ2023-03-31,Invitation to Quote (BPS),2023-03-21,0,2023-03-31,AniSoft,"Suite 71557, 1453 Johnston Road, White Rock, British Columbia","$38,790.00",2023-04-06
Liquor Distribution Branch,,RFP2023-05-02 Supply and Delivery of Decorations,163255,Request for Proposal (BPS),2023-03-31,2,2023-05-16,Key Innovations Inc.,"#13, 15243 - 91 Avenue, Surrey, British Columbia","$993,816.00",2023-06-19
Liquor Distribution Branch,,RFP2023-05-02 Supply and Delivery of Decorations,163255,Request for Proposal (BPS),2023-03-31,2,2023-05-16,Key Innovations Inc.,"#13, 15243 - 91 Avenue, Surrey, British Columbia","$993,816.00",2023-06-19
Liquor Distribution Branch,,Supply and Delivery of Cardboard Boxes and Sleeves,ITQ2023-04-10,Invitation to Quote (BPS),2023-03-13,1,2023-04-11,The Great Little Box Company,"11300 Twigg Pl, Richmond, British Columbia","$60,000.00",2023-04-21
Liquor Distribution Branch,,"Supply and Delivery of Pallet Movers, Forklifts & Forklift Batteries ",ITQ2023-02-10,Invitation to Quote,2023-01-27,0,2023-02-10,Motive Energy Systems (DBA) Motive Power Products,"2188 Mason St #110, Abbotsford, BC V2T 0J8","$64,500.00",2023-04-03
Liquor Distribution Branch,," Supply and Delivery of Forklift, Forklift batteries and Pallet movers.",ITQ2023-02-10,Invitation to Quote,2023-01-27,0,2023-02-10,Harding Forklift Services,"18623 96 Ave, Surrey, BC V4N 3P6","$173,994.95",2023-04-03
Liquor Distribution Branch,,Facilitation Consulting Services,RFP2023-01-09B,Request for Proposal,2022-11-30,0,2023-01-23,Stacey Holloway and Associates Ltd.,"Suite 303, 2110 York Avenue, Vancouver, BC, V6K 1C3","$525,000.00",2023-04-11
Liquor Distribution Branch,,Facilitation Consulting Services,RFP2023-01-09B,Request for Proposal,2022-11-30,0,2023-01-23,Kwela Leadership and Talent Management Inc.,"1090 17th Street, West Vancouver, BC, V7V 3T9 ","$490,000.00",2023-04-11
Liquor Distribution Branch,,Daily Delivery Services between Richmond an Kamloops (Primary),RFP2023-03-14B,Request for Proposal,2023-02-13,2,2023-03-22,Pacific Coast Distribution Ltd.,"27433 52nd Avenue, Langley, BC, V4W 4B2","$1,125,000.00",2023-05-01
Liquor Distribution Branch,,Daily Delivery Service between Richmond and Kamloops (Secondary),2023-03-14B,Request for Proposal,entered 2023-05-04,0,    ,Van-Kam Freightways Ltd,"10155 Grace Road, Surrey, BC, V3V 3V7","$375,000.00",2023-05-04
Ministry of Agriculture and Food,,Delivery of Environmental Farm Plan program,167886,Request for Proposal,2023-05-08,0,2023-05-29,B.C. Investment Agriculture Foundation,"PO BOX 8248, VICTORIA, British Columbia","$2,400,000.00",2023-06-01
Ministry of Agriculture and Food,,Delivery of Beneficial Management Practice and Extreme Weather Preparedness programs,168005,Request for Proposal,2023-05-08,0,2023-05-29,B.C. Investment Agriculture Foundation,"PO BOX 8248, VICTORIA, British Columbia","$20,000,000.00",2023-06-01
Ministry of Citizens' Services,,Natural Resource Officers Uniforms,9031,Request for Standing Arrangement,entered 2023-04-18,0,    ,Joint Force Tactical ,,"$250,000.00",2023-04-12
Procurement Services Branch ,Ministry of Citizens' Services,Req 44626 - Lenovo Soundbars,5098954,Invitation to Quote,2023-05-02,0,2023-05-15,Microserve,"280 - 4400 Dominion St, Burnaby, British Columbia","$19,597.80",2023-05-25
Procurement Services Branch ,Ministry of Citizens' Services,HINO S5 (19k-176) with 18 foot box and fold up tail,5095278,Invitation to Quote,2023-03-30,0,2023-04-11,Dueck Isuzu Trucks Vancouver Ltd,"400 SE Marine Dr, Vancouver, British Columbia","$121,778.00",2023-04-26
Procurement Services Branch ,Ministry of Citizens' Services,Req 44525 Resolver Quote #Q-26736-1- Perspective Standard SSP,5096442,Invitation to Quote,2023-04-11,0,2023-04-11,Resolver Inc.,"804-111 Peter St, Toronto, Ontario","$9,840.80",2023-04-11
Procurement Services Branch ,Ministry of Citizens' Services,"159050-RFP – CONSTRUCTION MANAGER VICTORIA, BC",159050,Request for Proposal,2023-03-03,0,2023-04-06,Century Group Inc,"590 Beaver Lake Rd, Victoria, British Columbia","$29,920.00",2023-04-26
Procurement Services Branch ,Ministry of Citizens' Services,"160083- RFP-MOVE MANAGEMENT SERVICES  MALAVIEW LABORATORIES  SIDNEY, BC",160083,Request for Proposal,2023-03-03,0,2023-04-06,Health Care Relocations Ltd.,"670 Harper Road, Peterborough ON, Ontario","$179,400.00",2023-04-13
Procurement Services Branch ,Ministry of Citizens' Services,"RFP – PRIME CONSULTANT SERVICES ANTI LIGATURE IMPROVEMENTS  FORENSIC PSYCHIATRIC HOSPITAL COQUITLAM, BC",161148,Request for Proposal,2023-03-13,0,2023-04-12,CHERNOFF THOMPSON ARCHITECTS,"1340 - 1075 West Georgia Street, Vancouver, British Columbia","$301,325.09",2023-04-27
Procurement Services Branch ,Ministry of Citizens' Services,Req 44756 - Check Point Maestro Hyperscale Orchestrator 140 & Maintenance,171685,Invitation to Quote,2023-06-13,0,2023-06-13,Optiv Canada Inc.,"PO Box 15641 Station A, Toronto, Ontario","$39,341.50",2023-06-13
"Ministry of Water, Land and Resource Stewardship","Ministry of Energy, Mines and Low Carbon Innovation",Virtual Home Energy Rating System (VHERS) ,11930,Request for Proposal,2023-01-05,1,2023-02-17,Properate,"2707 Clarke Street, Port Moody, British Columbia","$3,309,000.00",2023-06-21
